time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,8959.588720900232,8172.698599913202,786.8901209870294,10763.907700000002,2929.8739875058777,321.2581126651182,113,1061.1252812272085,0.0,0.0,7051.654804872205,0.12419081253333336,145.09577787802894,3
2006,8547.931895009031,8157.535591772239,390.3963032367928,10777.8382,2983.280411946822,327.11408025732703,117,1080.4677196378375,0.0,0.0,6958.684723023362,0.12422986644977464,143.1828132309334,2
2007,8907.538675958525,8355.880886991075,551.6577889674498,10792.6802,2811.975995549992,308.33070126644657,108,1018.4256496376566,0.0,0.0,6910.513375389524,0.12433951232032167,142.1916332384676,3
2008,8577.637738495734,8187.0535510161335,390.5841874796006,10819.178300000001,3000.891096536972,329.045076374668,116,1086.8458583284487,0.0,0.0,6978.639344691061,0.12427412246536812,143.59340215413707,3
2009,7908.473741671895,7570.241921990044,338.23181968185173,10778.2271,3567.898800850457,391.21697377746244,138,1292.20151944677,0.0,0.0,7054.410594430659,0.12496327636098714,145.152481366886,3
2010,7846.907256420928,7524.778216445751,322.1290399751767,10781.092200000001,3625.176917903719,397.49746906839033,141,1312.9461857107437,0.0,0.0,7067.382279174588,0.12418681926429044,145.4193884603825,3
2011,9349.29814700841,8816.654732057199,532.6434149512116,10787.792800000001,2332.955674147956,255.80654321797763,91,844.936763962411,0.0,0.0,6906.723855952861,0.12473983136627148,142.11365958750744,2
2012,9229.722061832877,8575.49386035125,654.2282014816282,10845.8358,2623.1132829542457,287.62207049936904,102,950.0244146797342,0.0,0.0,6909.924346265294,0.12434425458781552,142.1795132976398,3
2013,8627.93617250494,8115.8727895534985,512.063382951442,10780.566400000002,3018.5551480897348,330.9819241326464,117,1093.2433251654077,0.0,0.0,6985.203749780664,0.12436229171874745,143.72847221770917,2
2014,7876.5400719499485,7498.782530098866,377.7575418510827,10755.3886,3620.2529836478425,396.957563996474,140,1311.1628628974443,0.0,0.0,6975.044511908162,0.12420516621609608,143.51943440140252,4
2015,9221.852282809386,8780.171819335632,441.6804634737551,10805.4025,2393.3649443845106,262.43036670882793,94,866.8154536746134,0.0,0.0,6944.882328699175,0.12442193276060107,142.89881334771965,2
2016,8377.370958559282,8053.985703286823,323.38525527245855,10804.4104,3113.487241063242,341.3911448534257,121,1127.6252966370728,0.0,0.0,7033.59083412202,0.12431657952879974,144.72409123707862,3
2017,9147.497064384776,8670.599440872482,476.89762351229473,10800.549200000001,2497.369140818665,273.8343356160817,96,904.483108550088,0.0,0.0,6957.218597928301,0.12439120314201624,143.15264604790744,2
2018,8329.324514106454,8027.154640714418,302.16987339203627,10780.577200000002,3102.6740555049537,340.2054885422099,120,1123.7090379121476,0.0,0.0,7008.801753378171,0.12417399827674164,144.2140278472875,3
2019,8469.396180556354,8041.119508039429,428.2766725169248,10797.632000000001,3131.494056038798,343.36557632004366,121,1134.1469036025685,0.0,0.0,6982.551003952533,0.1243643833601279,143.67388897021675,2
2020,9086.133196817162,8654.060675292454,432.07252152470664,10811.8057,2495.818634757191,273.6643239865341,98,903.9215549858247,0.0,0.0,6947.643724578451,0.12445960389115872,142.95563219297225,3
2021,8936.602109241845,8396.222360178725,540.3797490631196,10802.382500000002,2779.9034589069292,304.81397575733877,108,1006.809798713634,0.0,0.0,6958.273249863975,0.12424259799052575,143.17434670502007,2
2022,9084.604795631176,8482.973252231317,601.6315433998601,10802.9074,2684.8812746935055,294.39487661113,104,972.3951985034292,0.0,0.0,6941.248672856717,0.12531689114439956,142.82404676659914,3
2023,8599.139345173078,8234.091514082573,365.0478310905069,10793.078500000001,2909.2689732732715,318.99879092908685,112,1053.662673068802,0.0,0.0,6969.654439947817,0.12421065260853559,143.40852757094277,2
