time,pv_kwh,pv_used_kwh,curtailed_kwh,load_kwh,gen_dc_kwh,genset_h,starts,fuel_l,wet_stack_h,unmet_kwh,discharge_kwh,soc_min,cycles,refills
2005,10052.594230356912,8799.340718681382,1253.2535116755296,10824.3529,2364.951055001791,259.3148086624771,91,856.5246710366666,0.0,0.0,6914.5846082979,0.12416080340176405,142.27540346291977,2
2006,9441.572089563553,8773.577288512559,667.9948010509953,10839.478500000001,2409.161988308373,264.1624987180234,94,872.5367381898349,0.0,0.0,6846.795852164237,0.12439917538781689,140.88057308979913,2
2007,9754.514537982572,8691.102263602004,1063.4122743805685,10862.579800000001,2540.6502929066946,278.5800759766113,98,920.1584327712311,0.0,0.0,6825.151168754155,0.12421420204534618,140.43520923362462,3
2008,9510.033609459157,8622.178489455006,887.8551200041503,10881.575200000001,2618.626035880096,287.1300477938702,102,948.3992487736923,0.0,0.0,6875.986949295893,0.12467525056677595,141.4812129484752,2
2009,8984.653299996036,8318.732984285713,665.9203157103235,10848.0751,2880.4117167451695,315.83461806416335,111,1043.2113142119333,0.0,0.0,6951.427106126228,0.12425564262111302,143.0334795499224,3
2010,8915.672263982608,8047.289795241023,868.3824687415847,10839.7077,3159.3629210006825,346.4213729167415,121,1144.2402923613583,0.0,0.0,6921.802309578601,0.12434322268809642,142.42391583495066,3
2011,10164.958754027311,9228.244487886777,936.7142661405344,10865.333,1986.9635425635433,217.86880949161662,78,719.6272798359457,0.0,0.0,6820.080364505513,0.12419669635636987,140.3308716976443,1
2012,10033.79238380496,8991.11708155541,1042.6753022495493,10924.623000000001,2299.0073505818427,252.08413931818455,89,832.6415510812761,0.0,0.0,6804.680703063738,0.12424799173848473,140.0140062358794,2
2013,9390.841244254703,8506.839972049558,884.0012722051441,10845.2914,2682.0490977530885,294.08433089397903,104,971.3694565892034,0.0,0.0,6885.738745079577,0.12423486471942709,141.68186718270735,3
2014,8793.249484604734,8140.580376445441,652.6691081592921,10804.2412,3035.596441820111,332.8504870416789,117,1099.4152450770605,0.0,0.0,6848.459741954744,0.12424049422964525,140.91480950524166,3
2015,10083.99428743431,9150.1597811145,933.834506319811,10883.187600000001,2090.4116847543446,229.2118075388536,81,757.093546113183,0.0,0.0,6805.516472485883,0.12469353259702871,140.03120313756963,1
2016,9226.952769465372,8499.244259428271,727.7085100371016,10868.8058,2706.2251947726136,296.7352187250673,106,980.1254194252222,0.0,0.0,6899.207285385529,0.12455005347707149,141.95899764167757,3
2017,10134.347567236511,9082.533723337652,1051.8138438988601,10880.190900000001,2174.8860268609737,238.47434505054542,84,787.687988197256,0.0,0.0,6842.2073014114285,0.12472708759515312,140.78615846525574,2
2018,9167.629705094847,8630.882426564618,536.7472785302286,10874.143,2601.563129932275,285.25911512415297,101,942.219501470687,0.0,0.0,6920.719366482269,0.12414865414885433,142.40163305519073,2
2019,9536.1136703684,8711.769584126854,824.3440862415467,10862.0563,2490.084232058845,273.03555176083825,96,901.8447012706475,0.0,0.0,6864.760520086442,0.12434015345533678,141.250216462684,2
2020,9853.846233133974,9041.938172269465,811.908060864508,10872.3747,2179.763198035851,239.00912259165034,84,789.4543746209056,0.0,0.0,6847.579850475326,0.12419844322839424,140.89670474229067,2
2021,9547.66293963279,8665.355910538363,882.3070290944277,10879.6096,2590.255433476608,284.01923612682106,100,938.1241435704088,0.0,0.0,6876.143757424938,0.1250234838042601,141.48443945318803,3
2022,10048.364421215332,9090.033818931292,958.3306022840405,10884.1594,2127.9921021307487,233.3324673388979,82,770.7042103012081,0.0,0.0,6812.204198600742,0.12577256723928376,140.16881067079717,2
2023,9467.010454887612,8790.240405877328,676.7700490102822,10867.6851,2443.8089909358673,267.9615121640205,95,885.0849947235829,0.0,0.0,6889.823095608742,0.12446556469067639,141.76590731705232,2
